AddNum,StPreDir,StName,StSuffix,Zip4,Name,geometry,longitude,latitude,jointadd
11090,W,HAZELWOOD,DR,83709,LaGrande,POINT (-116.32042548 43.54858894700004),-116.32042547999998,43.54858894700004,11090 W HAZELWOOD DR
11317,W,HAZELWOOD,DR,83709,LaGrande,POINT (-116.323026851 43.54863652700004),-116.32302685099995,43.54863652700004,11317 W HAZELWOOD DR
11295,W,HAZELWOOD,DR,83709,LaGrande,POINT (-116.322858856 43.54855292400003),-116.32285885599998,43.548552924000035,11295 W HAZELWOOD DR
11289,W,HAZELWOOD,DR,83709,LaGrande,POINT (-116.322663563 43.54845018500004),-116.32266356299999,43.548450185000036,11289 W HAZELWOOD DR
11277,W,HAZELWOOD,DR,83709,LaGrande,POINT (-116.3225030139999 43.54841436800007),-116.32250301399995,43.54841436800007,11277 W HAZELWOOD DR
11191,W,HAZELWOOD,DR,83709,LaGrande,POINT (-116.321641078 43.54837637900005),-116.32164107799997,43.54837637900005,11191 W HAZELWOOD DR
11245,W,HAZELWOOD,DR,83709,LaGrande,POINT (-116.3222808 43.54839034400004),-116.32228079999999,43.54839034400004,11245 W HAZELWOOD DR
11217,W,HAZELWOOD,DR,83709,LaGrande,POINT (-116.321862247 43.54836621100003),-116.32186224699996,43.54836621100003,11217 W HAZELWOOD DR
11079,W,HAZELWOOD,DR,83709,LaGrande,POINT (-116.320250535 43.54826526100004),-116.32025053499996,43.54826526100004,11079 W HAZELWOOD DR
11057,W,HAZELWOOD,DR,83709,LaGrande,POINT (-116.320107365 43.54817957200004),-116.32010736499996,43.54817957200004,11057 W HAZELWOOD DR
5940,S,OLMSTEAD,AVE,83709,LaGrande,POINT (-116.319535966 43.54914353600003),-116.31953596599999,43.54914353600003,5940 S OLMSTEAD AVE
5952,S,OLMSTEAD,AVE,83709,LaGrande,POINT (-116.319641807 43.54896917100007),-116.31964180699998,43.54896917100007,5952 S OLMSTEAD AVE
5964,S,OLMSTEAD,AVE,83709,LaGrande,POINT (-116.3197188619999 43.54884157700008),-116.31971886199995,43.548841577000076,5964 S OLMSTEAD AVE
5976,S,OLMSTEAD,AVE,83709,LaGrande,POINT (-116.3197676569999 43.54871668500004),-116.31976765699994,43.548716685000045,5976 S OLMSTEAD AVE
5998,S,OLMSTEAD,AVE,83709,LaGrande,POINT (-116.319826769 43.54858661900005),-116.31982676899997,43.54858661900005,5998 S OLMSTEAD AVE
6010,S,OLMSTEAD,AVE,83709,LaGrande,POINT (-116.319925322 43.54844073900006),-116.31992532199996,43.54844073900006,6010 S OLMSTEAD AVE
11250,W,SPRINGGOLD,DR,83709,LaGrande,POINT (-116.322305138 43.54935070100004),-116.32230513799999,43.54935070100004,11250 W SPRINGGOLD DR
11272,W,SPRINGGOLD,DR,83709,LaGrande,POINT (-116.322530307 43.54933345100005),-116.32253030699997,43.54933345100005,11272 W SPRINGGOLD DR
11162,W,SPRINGGOLD,DR,83709,LaGrande,POINT (-116.321172595 43.54932944400008),-116.32117259499995,43.54932944400008,11162 W SPRINGGOLD DR
11128,W,SPRINGGOLD,DR,83709,LaGrande,POINT (-116.320742683 43.54933159100005),-116.32074268299999,43.549331591000055,11128 W SPRINGGOLD DR
11232,W,SPRINGGOLD,DR,83709,LaGrande,POINT (-116.322079539 43.54932233600005),-116.32207953899996,43.549322336000046,11232 W SPRINGGOLD DR
11196,W,SPRINGGOLD,DR,83709,LaGrande,POINT (-116.3216203859999 43.54932463300003),-116.32162038599995,43.549324633000026,11196 W SPRINGGOLD DR
11140,W,SPRINGGOLD,DR,83709,LaGrande,POINT (-116.3209387539999 43.54932803900005),-116.32093875399994,43.549328039000045,11140 W SPRINGGOLD DR
